file_id,field_presence,field_accuracy,relaxed_accuracy,critical_accuracy,critical_relaxed,overall_accuracy
3301224-1,0.30434782608695654,0.17391304347826086,0.17391304347826086,0.15,0.15,0.20347826086956522
6347607,0.92,0.6,0.64,0.6842105263157895,0.7368421052631579,0.7627368421052632
14446278,0.9090909090909091,0.7727272727272727,0.8181818181818182,0.7894736842105263,0.8421052631578947,0.8550239234449761
9979590,0.7714285714285715,0.5714285714285714,0.6,0.5384615384615384,0.5384615384615384,0.6268131868131868
3607052,0.8620689655172413,0.6896551724137931,0.7586206896551724,0.75,0.85,0.8262068965517242
61578870,0.782608695652174,0.6086956521739131,0.6956521739130435,0.65,0.75,0.7434782608695653
1931823,1.0,0.7777777777777778,0.8888888888888888,1.0,1.0,0.9666666666666667
503076074,0.6956521739130435,0.391304347826087,0.43478260869565216,0.4,0.4,0.4991304347826087
31440-90145,0.7407407407407407,0.5185185185185185,0.7037037037037037,0.52,0.68,0.7053333333333334
61579102,0.9565217391304348,0.7391304347826086,0.8260869565217391,0.8,0.9,0.8947826086956523
504104411,1.0,0.6521739130434783,0.782608695652174,0.7,0.85,0.8747826086956523
506573704,0.9230769230769231,0.7307692307692307,0.8076923076923077,0.7,0.8,0.8392307692307693
505151336,0.8695652173913043,0.782608695652174,0.782608695652174,0.85,0.85,0.8356521739130436
9938764,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.14285714285714285,0.14285714285714285,0.3904761904761905
4233261,0.9545454545454546,0.7727272727272727,0.8181818181818182,0.8421052631578947,0.8947368421052632,0.8897129186602871
4231282,0.8571428571428571,0.47619047619047616,0.6190476190476191,0.5263157894736842,0.6842105263157895,0.7165413533834586
32688939,0.9230769230769231,0.6923076923076923,0.8076923076923077,0.7,0.8,0.8392307692307693
61550952,0.8846153846153846,0.6923076923076923,0.8076923076923077,0.75,0.9,0.8676923076923078
9984413,0.7714285714285715,0.5714285714285714,0.6571428571428571,0.5384615384615384,0.6153846153846154,0.6747252747252748
8299332,0.6086956521739131,0.5652173913043478,0.5652173913043478,0.55,0.55,0.5721739130434782
14342080,0.8636363636363636,0.7727272727272727,0.8636363636363636,0.7894736842105263,0.8947368421052632,0.8760765550239235
61814758,0.8518518518518519,0.7407407407407407,0.8518518518518519,0.75,0.9,0.8711111111111112
9968821,0.8695652173913043,0.391304347826087,0.6086956521739131,0.45,0.65,0.7034782608695652
2001824215,0.9090909090909091,0.6363636363636364,0.7727272727272727,0.6842105263157895,0.7894736842105263,0.820334928229665
8226477,0.7307692307692307,0.5384615384615384,0.6153846153846154,0.55,0.65,0.6638461538461539
70729538,0.9130434782608695,0.6956521739130435,0.7391304347826086,0.75,0.8,0.8156521739130435
5001712233,0.9285714285714286,0.7142857142857143,0.7142857142857143,0.75,0.75,0.7928571428571429
61666028,0.8260869565217391,0.6956521739130435,0.7391304347826086,0.75,0.8,0.7895652173913044
504819841,0.8695652173913043,0.6521739130434783,0.7391304347826086,0.75,0.85,0.8226086956521739
32617822,1.0,0.6521739130434783,0.8260869565217391,0.65,0.8,0.8678260869565217
6637008,0.9166666666666666,0.7083333333333334,0.7916666666666666,0.65,0.75,0.8125
8354971,0.7083333333333334,0.5833333333333334,0.625,0.55,0.6,0.64
61465411,0.8846153846153846,0.7692307692307693,0.8461538461538461,0.85,0.95,0.8992307692307692
3294690,0.9047619047619048,0.5714285714285714,0.7142857142857143,0.631578947368421,0.7368421052631579,0.7804511278195487
2001836741,0.8636363636363636,0.5454545454545454,0.7272727272727273,0.631578947368421,0.8421052631578947,0.8141148325358851
2145346,0.9090909090909091,0.7272727272727273,0.7727272727272727,0.7894736842105263,0.7894736842105263,0.820334928229665
7363582,0.72,0.52,0.52,0.5789473684210527,0.5789473684210527,0.6035789473684211
8251619,0.06896551724137931,0.0,0.0,0.0,0.0,0.020689655172413793
507294874,0.9615384615384616,0.8461538461538461,0.9230769230769231,0.85,0.95,0.9453846153846154
3071726,0.9310344827586207,0.7931034482758621,0.7931034482758621,0.85,0.85,0.8572413793103448
8665815,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.6842105263157895,0.7368421052631579,0.7661654135338345
6371326,0.8,0.68,0.8,0.7894736842105263,0.8947368421052632,0.8378947368421052
61231181,0.84,0.68,0.76,0.6842105263157895,0.7894736842105263,0.7957894736842106
3376118-1,0.2916666666666667,0.20833333333333334,0.20833333333333334,0.15,0.15,0.21000000000000002
61048221,0.868421052631579,0.7368421052631579,0.7894736842105263,0.71875,0.78125,0.8098684210526316
505337242,0.6521739130434783,0.43478260869565216,0.43478260869565216,0.45,0.45,0.5060869565217392
60847782,0.92,0.72,0.84,0.7368421052631579,0.8947368421052632,0.8858947368421053
1353403,0.7391304347826086,0.5652173913043478,0.6521739130434783,0.6,0.7,0.697391304347826
0245658,0.9166666666666666,0.7083333333333334,0.7916666666666666,0.6666666666666666,0.7222222222222222,0.8013888888888889
3070046,0.8461538461538461,0.6153846153846154,0.6923076923076923,0.7,0.8,0.7815384615384615
2001828290,0.9090909090909091,0.7272727272727273,0.8181818181818182,0.6842105263157895,0.7894736842105263,0.8339712918660287
1183886,0.8636363636363636,0.5909090909090909,0.6818181818181818,0.631578947368421,0.6842105263157895,0.7373205741626794
2001809674,0.5555555555555556,0.4444444444444444,0.48148148148148145,0.44,0.48,0.5031111111111111
3068411,0.8076923076923077,0.6538461538461539,0.7307692307692307,0.75,0.85,0.8015384615384615
607273,0.868421052631579,0.7631578947368421,0.868421052631579,0.78125,0.875,0.8710526315789473
61407132,0.8461538461538461,0.7307692307692307,0.7307692307692307,0.75,0.75,0.7730769230769231
14530945,0.9166666666666666,0.75,0.8333333333333334,0.75,0.85,0.865
2001868099,1.0,0.782608695652174,0.8695652173913043,0.85,0.9,0.9208695652173913
3945196,0.9090909090909091,0.8636363636363636,0.9090909090909091,0.9473684210526315,1.0,0.9454545454545454
9963291,0.7692307692307693,0.6153846153846154,0.6538461538461539,0.65,0.65,0.686923076923077
2365675,0.7307692307692307,0.5384615384615384,0.6153846153846154,0.65,0.75,0.7038461538461539
504102841,0.9565217391304348,0.7391304347826086,0.8260869565217391,0.8,0.9,0.8947826086956523
61375773,0.84,0.64,0.68,0.631578947368421,0.6842105263157895,0.7296842105263158
3070085,0.8461538461538461,0.5,0.6153846153846154,0.6,0.75,0.7384615384615385
3071603,0.9259259259259259,0.7037037037037037,0.8148148148148148,0.75,0.9,0.8822222222222222
60778077,0.9523809523809523,0.7619047619047619,0.9047619047619048,0.7894736842105263,0.9473684210526315,0.9360902255639099
9968850,0.7241379310344828,0.41379310344827586,0.5517241379310345,0.4230769230769231,0.5384615384615384,0.5981432360742706
506232608,0.8846153846153846,0.7307692307692307,0.7307692307692307,0.75,0.75,0.7846153846153846
14342084,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9473684210526315,0.9473684210526315,0.9380382775119618
31421-79757,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.8421052631578947,0.8421052631578947,0.8550239234449761
31483-42812,0.72,0.44,0.52,0.5263157894736842,0.631578947368421,0.6246315789473684
506546815,0.6923076923076923,0.46153846153846156,0.5384615384615384,0.4,0.5,0.5692307692307692
2001073484,0.8064516129032258,0.7741935483870968,0.7741935483870968,0.8,0.8,0.7941935483870968
4006371285,0.9545454545454546,0.6818181818181818,0.6818181818181818,0.7894736842105263,0.7894736842105263,0.8066985645933015
3072177,0.8518518518518519,0.6296296296296297,0.7037037037037037,0.7,0.8,0.7866666666666667
505566798,0.8695652173913043,0.6521739130434783,0.6956521739130435,0.7,0.75,0.7695652173913043
61217638,0.7692307692307693,0.6538461538461539,0.7307692307692307,0.8,0.9,0.81
0100767,0.7037037037037037,0.48148148148148145,0.5925925925925926,0.48,0.6,0.6288888888888888
504798115,0.8846153846153846,0.6153846153846154,0.6923076923076923,0.65,0.75,0.7730769230769231
60752192,0.9523809523809523,0.8571428571428571,0.9523809523809523,0.8947368421052632,1.0,0.9714285714285714
0148909,0.8695652173913043,0.6956521739130435,0.782608695652174,0.7,0.8,0.8156521739130436
61174109,0.8846153846153846,0.6923076923076923,0.7692307692307693,0.7,0.8,0.8161538461538462
